latitude,longitude,time,pressure,temperature,salinity
-41.851,23.967,2019-02-10 20:02:23.002148608,4.5,13.527,34.513
-41.851,23.967,2019-02-10 20:02:23.002148608,9.7,13.959,34.653
-41.851,23.967,2019-02-10 20:02:23.002148608,16.5,14.135,34.715
-41.851,23.967,2019-02-10 20:02:23.002148608,23.6,14.31,34.785
-41.851,23.967,2019-02-10 20:02:23.002148608,30.4,14.783,34.979
-41.851,23.967,2019-02-10 20:02:23.002148608,37.6,14.559,34.959
-41.851,23.967,2019-02-10 20:02:23.002148608,44.3,14.428,34.95
-41.851,23.967,2019-02-10 20:02:23.002148608,51.8,13.944,34.919
-41.851,23.967,2019-02-10 20:02:23.002148608,58.7,13.091,34.777
-41.851,23.967,2019-02-10 20:02:23.002148608,66.5,12.947,34.78
-41.851,23.967,2019-02-10 20:02:23.002148608,74.9,12.772,34.8
-41.851,23.967,2019-02-10 20:02:23.002148608,82.2,12.529,34.817
-41.851,23.967,2019-02-10 20:02:23.002148608,90.4,12.191,34.831
-41.851,23.967,2019-02-10 20:02:23.002148608,98.3,11.898,34.907
-41.851,23.967,2019-02-10 20:02:23.002148608,106.6,11.891,34.92
-41.851,23.967,2019-02-10 20:02:23.002148608,114.1,12.054,34.966
-41.851,23.967,2019-02-10 20:02:23.002148608,122.5,12.137,35.003
-41.851,23.967,2019-02-10 20:02:23.002148608,130.0,11.58,34.905
-41.851,23.967,2019-02-10 20:02:23.002148608,138.5,11.442,34.891
-41.851,23.967,2019-02-10 20:02:23.002148608,146.3,11.291,34.866
-41.851,23.967,2019-02-10 20:02:23.002148608,154.0,11.114,34.849
-41.851,23.967,2019-02-10 20:02:23.002148608,162.0,11.043,34.837
-41.851,23.967,2019-02-10 20:02:23.002148608,170.0,10.869,34.809
-41.851,23.967,2019-02-10 20:02:23.002148608,179.8,10.504,34.751
-41.851,23.967,2019-02-10 20:02:23.002148608,189.4,10.401,34.734
-41.851,23.967,2019-02-10 20:02:23.002148608,199.2,10.236,34.712
-41.851,23.967,2019-02-10 20:02:23.002148608,209.1,10.255,34.737
-41.851,23.967,2019-02-10 20:02:23.002148608,220.3,10.171,34.734
-41.851,23.967,2019-02-10 20:02:23.002148608,231.7,10.441,34.82
-41.851,23.967,2019-02-10 20:02:23.002148608,243.4,10.376,34.822
-41.851,23.967,2019-02-10 20:02:23.002148608,255.0,10.277,34.813
-41.851,23.967,2019-02-10 20:02:23.002148608,269.0,10.031,34.798
-41.851,23.967,2019-02-10 20:02:23.002148608,283.2,9.901,34.784
-41.851,23.967,2019-02-10 20:02:23.002148608,297.5,9.821,34.775
